Date,AUD,CNY,EUR,GBP,HKD,INR,JPY,NZD
2023-09-01,0.6428,0.1370952263,1.0588,1.2203,0.1276959814,0.01202024209,0.006694784763,0.5998
2023-10-01,0.6371,0.1367596176,1.0615,1.2166,0.1278657921,0.01200530635,0.006706413343,0.584
2023-11-01,0.6619,0.1412648858,1.0974,1.2696,0.1281377737,0.01200043682,0.006800916764,0.6156
2023-12-01,0.6826,0.1414707297,1.1056,1.2741,0.1280409731,0.01215037302,0.007091192739,0.6327
2024-01-01,0.6595,0.140962208,1.0843,1.2696,0.1279263144,0.01203228985,0.006785687628,0.6132
2024-02-01,0.6495,0.1389660923,1.0839,1.2663,0.1277498148,0.01206099486,0.006637638063,0.6097
2024-03-01,0.6518,0.1383795752,1.0801,1.2627,0.1277661369,0.01199141415,0.00660763843,0.597
2024-04-01,0.6562,0.1381654393,1.0716,1.256,0.1277873618,0.01198306553,0.006397379633,0.5972
2024-05-01,0.663,0.1382456625,1.0835,1.273,0.1279230415,0.01200179067,0.006371334094,0.6117
2024-06-01,0.6688,0.1376045795,1.0722,1.265,0.1280557299,0.01198309425,0.006215813028,0.6093
