Date,AAPL,ADBE,AMZN,AVGO,CSCO,DIS,GOOG,HD,JPM,MA,META,MSFT,NFLX,NVDA,PFE,TSLA,UNH,V
2022-10-01,151.84,318.5,102.44,47.01,42.62,105.71,94.55,282.71,119.05,324.22,92.97,228.61,291.88,13.49,42.25,227.54,540.8,204.31
2022-11-01,146.58,344.93,96.54,55.1,47.08,97.1,101.33,309.31,131.85,352.67,117.86,251.27,305.53,16.91,45.5,194.7,533.6,214.01
2022-12-01,128.87,336.53,84.0,55.91,45.11,86.2,88.63,303.37,127.96,344.09,120.09,236.85,294.88,14.61,46.91,123.18,516.48,205.36
2023-01-01,143.11,370.34,103.13,58.5,46.08,107.64,99.76,311.35,133.55,366.72,148.66,244.74,353.86,19.53,40.43,173.22,487.79,227.55
2023-02-01,146.21,323.95,94.23,59.43,46.21,98.83,90.2,284.82,137.8,352.14,174.58,246.33,322.13,23.2,37.48,205.71,465.07,217.4
2023-03-01,163.8,385.37,103.29,64.15,49.9,99.35,103.88,283.45,125.26,360.19,211.51,285.44,345.48,27.76,37.7,207.46,461.79,223.29
2023-04-01,168.55,377.56,105.45,62.65,45.1,101.7,108.1,290.75,132.89,376.66,239.83,304.21,329.93,27.74,35.93,164.31,482.56,230.49
2023-05-01,176.07,417.79,120.58,80.8,47.76,87.27,123.23,274.22,131.48,362.35,264.18,325.13,395.23,37.82,35.13,203.93,477.8,218.9
2023-06-01,192.95,488.99,130.36,86.74,49.75,88.58,120.83,302.68,140.9,390.43,286.39,337.9,440.49,42.28,34.26,261.77,471.33,235.65
2023-07-01,195.41,546.17,133.68,89.86,50.04,88.19,132.96,325.29,153.03,391.4,317.95,333.31,438.97,46.72,33.68,267.43,498.6,235.9
2023-08-01,186.88,559.34,138.01,92.29,55.57,83.03,137.19,321.84,142.74,410.22,295.28,325.22,433.68,49.34,33.41,258.08,469.27,243.79
2023-09-01,170.54,509.9,127.12,83.06,52.09,80.42,131.7,296.3,141.46,393.59,299.59,313.96,377.6,43.49,31.32,250.22,496.46,228.67
2023-10-01,170.1,532.06,133.09,84.14,50.51,80.95,125.16,279.17,135.65,374.14,300.65,336.2,411.69,40.77,28.86,200.84,529.4,233.73
2023-11-01,189.2,611.01,146.09,92.57,47.21,91.96,133.77,307.41,153.37,412.0,326.48,376.76,473.97,46.76,28.77,240.08,546.61,255.19
2023-12-01,192.02,596.6,151.94,111.62,49.3,89.58,140.77,342.11,167.15,424.62,353.23,374.67,486.88,49.51,27.55,248.48,520.41,259.39
2024-01-01,183.92,617.78,155.2,118.0,48.97,95.61,141.64,348.44,171.34,447.24,389.34,396.13,564.11,61.52,25.92,187.29,507.58,272.25
2024-02-01,180.28,560.28,176.76,130.05,47.57,111.07,139.62,375.74,183.96,473.4,489.12,412.13,602.92,79.1,25.8,201.88,489.58,281.59
2024-03-01,171.25,504.6,180.38,132.54,49.09,121.8,152.09,378.69,198.04,480.19,485.1,419.96,607.33,90.34,26.96,175.79,490.68,278.56
2024-04-01,170.1,462.83,175.0,130.03,46.2,110.59,164.45,331.91,189.58,449.91,429.74,388.63,550.64,86.39,24.89,183.28,481.66,268.11
2024-05-01,191.99,444.76,176.44,132.85,46.11,103.43,173.76,332.56,201.51,446.41,466.37,414.38,641.62,109.62,27.84,178.08,493.28,271.96
2024-06-01,210.62,555.54,193.25,160.55,47.11,98.83,183.21,344.24,201.15,440.51,503.72,446.95,674.88,123.53,27.59,197.88,507.11,262.47
