DATE,Global_Energy_Prices,US_Econ_Policy_Uncertainty,World_Econ_Policy_Uncertainty,CPI_US,AMERIBOR,Overnight_AMERIBOR,US_30y_Mortgage,Fed_Funds,SP500,DJIA,Bacon,DEXUSEU,Monetary_Base,Commericial_Paper_Outstanding,WEI,US_Housing_Inventory,Crude_Oil,USDX,JPY/USD,Nikkei225,Russell2000,CBOE_Volatility
2019-07-01,125.7324603,94.79645161,262.0413385,255.802,2.416335458,2.411212934,3.765,2.4,2996.113636,27089.18682,5.701,1.121145455,3260300,1150.462788,1.8075,1239534,58.58,98.52,0.009211326247,21521.53,1574.61,16.12
2019-08-01,117.138292,155.2332258,317.8190998,256.036,2.277381715,2.161065425,3.616,2.13,2897.498182,26058.225,5.576,1.112868182,3271400,1131.343387,1.648,1235257,55.1,98.92,0.009395140833,20704.37,1494.84,18.98
2019-09-01,122.4373018,118.307,273.8658486,256.43,2.139569152,2.066011074,3.605,2.04,2982.156,26900.214,5.571,1.10112,3202700,1107.605743,1.5575,1224868,55.1,99.38,0.009264062847,21755.84,1523.37,16.24
2019-10-01,119.7971672,98.00290323,258.4559632,257.155,1.934088113,1.859970766,3.688,1.83,2977.675217,26736.79609,5.653,1.105818182,3252800,1092.973399,1.5,1208311,54.18,97.35,0.00919210582,22927.04,1562.45,13.22
2019-11-01,127.6314617,81.042,253.466848,257.879,1.72511728,1.607883123,3.695,1.55,3104.9045,27797.046,5.505,1.105057895,3315600,1127.538667,1.59,1143332,55.17,98.27,0.009137009457,23293.91,1624.5,12.62
2019-12-01,131.10422,121.3074194,266.1682627,258.63,1.601033941,1.596007726,3.72,1.55,3176.749524,28167.00571,5.474,1.111366667,3426500,1133.707515,1.5525,1033887,55.17,96.39,0.009185013732,23656.62,1668.47,13.78
2020-01-01,126.1420732,110.0745161,228.0107179,258.906,1.596375075,1.601410756,3.624,1.55,3278.202857,28879.99429,5.505,1.109766667,3442600,1121.613584,1.3975,951675,51.56,97.39,0.009184676286,23205.18,1614.06,18.84
2020-02-01,109.2893591,113.26,230.5622629,259.246,1.620600148,1.630877607,3.465,1.58,3277.314211,28519.73158,5.497,1.091073684,3454500,1121.0578,1.574,928343,44.76,98.13,0.009247614116,21142.96,1476.43,40.11
2020-03-01,72.9941675,380.3896774,357.0066934,258.15,1.273630131,0.6991796265,3.45,0.65,2652.393636,22637.42091,5.257,1.104590909,3883100,1127.741147,-0.6125,937319,44.76,99.05,0.009256259546,18917.01,1153.1,53.54
2020-04-01,55.89051244,555.3246667,358.9889587,256.126,0.272796295,0.1550536147,3.306,0.05,2761.975238,23293.9,5.346,1.087109091,4844900,1084.958329,-7.27,941733,18.84,99.02,0.009379983116,20193.69,1310.66,34.15
2020-05-01,68.01149929,484.1822581,431.6423745,255.848,0.1466525816,0.1332860261,3.2325,0.05,2919.615,24271.0215,5.348,1.09073,5149400,1059.746071,-7.252,928370,35.49,98.34,0.009279881218,21877.89,1394.04,27.51
2020-06-01,82.39756359,313.916,328.7088759,257.004,0.1141830567,0.099778043,3.1625,0.08,3104.660909,26062.27,5.772,1.1259,5001800,1026.062261,-5.465,871557,39.27,97.39,0.009294544103,22288.14,1441.37,30.43
2020-07-01,86.41654736,359.4525806,352.1391826,258.408,0.09373674677,0.09471018839,3.016,0.09,3207.619091,26385.83091,5.776,1.148827273,4700300,1018.050438,-4.42,822834,40.27,93.49,0.009552649427,21710,1480.43,24.46
2020-08-01,93.22718575,298.5867742,301.6897897,259.366,0.1034354287,0.1057170235,2.935,0.1,3391.71,27821.36714,5.559,1.183114286,4807400,1011.562264,-3.262,779558,42.61,92.14,0.009475529445,23139.76,1561.88,26.41
2020-09-01,91.29755536,247.7366667,290.0140191,259.951,0.1031859853,0.1033676577,2.89,0.09,3365.516667,27733.39619,5.619,1.178509524,4880300,984.0837211,-2.705,749395,40.22,93.89,0.009463961236,23185.12,1507.69,26.37
2020-10-01,95.40285718,271.4293548,307.7767776,260.249,0.09865371806,0.09001795581,2.834,0.09,3418.701364,28005.105,5.722,1.176780952,4917100,968.4800742,-1.716,734040,35.79,94.04,0.009564435603,22977.13,1538.48,38.02
2020-11-01,100.8954115,264.6863333,368.4186704,260.895,0.08316171633,0.07889937167,2.765,0.09,3548.9925,29124.0365,5.754,1.182627778,5093000,969.7839313,-1.04,683822,35.79,91.87,0.009607809227,26433.62,1819.82,20.57
2020-12-01,118.4939795,238.673871,295.6845129,262.005,0.07887225871,0.08222669,2.684,0.09,3695.31,30148.58,5.831,1.2168,5206500,1001.256858,-0.3475,612300,48.52,89.94,0.009697345836,27444.17,1974.86,22.75
2021-01-01,138.4462725,216.0622581,280.6117918,262.518,0.08601164226,0.08390110903,2.735,0.09,3793.748421,30821.35263,5.831,1.217766667,5248000,1072.87682,0.056,531775,52.2,90.58,0.009552923194,27663.39,2073.64,33.09
2021-02-01,137.6649083,154.3964286,215.3982853,263.583,0.08467611321,0.0913401625,2.81,0.08,3883.432105,31283.91,5.778,1.209394737,5446800,1074.373505,-0.1475,464919,61.5,90.93,0.009387027129,28966.01,2201.05,27.95
